name,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Utah,1272365,1316421,1364235,1416094,1472595,1515472,1558314,1594943,1622342,1642910,1662833,1678120,1689372,1705865,1731223,1779780,1836799,1898404,1960446,2014177,2067976,2119784,2165960,2203482,2244502,2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,1053959,1053649,1054621,1055081,1055936,1056065,1056770,1055673,1058287,1059361
Vermont,485144,492174,498284,505711,512524,515594,519108,523302,526658,530035,534066,540267,549763,557708,564798,568606,572751,577748,583836,589002,593701,597239,600416,604683,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,4635649,4671994,4717354,4764080,4823617,4891938,4957968,5021268,5084156,5148714
Virginia,5132693,5205706,5284122,5324533,5368334,5444094,5492785,5564662,5643868,5715149,5811692,5932273,6036908,6120246,6216884,6301217,6414307,6509630,6593139,6670693,6750884,6829183,6900918,7000174,7105817,7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,816166,823579,833566,842316,849129,853988,862996,872868,878698,884659
Washington,3690561,3772360,3886191,4012831,4154678,4235728,4276551,4300269,4343657,4400096,4452724,4531903,4639894,4746315,4903043,5025624,5160757,5278842,5375161,5481027,5569753,5674747,5769562,5842564,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6355311,6399291,6453898,6494340,6541223,6591170,6646010,6708799,6771631,6829174
West Virginia,1877440,1905628,1920342,1939062,1951349,1954125,1949605,1945058,1927696,1906831,1882352,1857583,1830213,1806570,1792548,1798735,1806451,1817539,1820421,1823700,1822808,1819113,1815609,1811799,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,25241971,25645629,26084481,26480266,26964333,27470056,27914410,28295273,28628666,28995881
Wisconsin,4584688,4613299,4631944,4665911,4712045,4726345,4728862,4721438,4735571,4747765,4755625,4777923,4822391,4856568,4904562,4964343,5025398,5084889,5133678,5184836,5229986,5266213,5297672,5332666,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,2775332,2814384,2853375,2897640,2936879,2981835,3041868,3101042,3153550,3205958
Wyoming,395446,411530,430897,451850,474185,491712,506400,510344,504895,499696,495633,476966,465103,458373,453690,459260,466251,473081,480283,485160,488167,489451,490787,491780,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,625879,627049,626090,626210,625214,625216,623657,624344,624358,623989
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8023699,8101155,8185080,8252427,8310993,8361808,8410106,8463587,8501286,8535519
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6742830,6826627,6897058,6963985,7054655,7163657,7294771,7423362,7523869,7614893
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1854239,1856301,1856872,1853914,1849489,1842050,1831023,1817004,1804291,1792147
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5690475,5705288,5719960,5736754,5751525,5760940,5772628,5790186,5807406,5822434
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564487,567299,576305,582122,582531,585613,584215,578931,577601,578759
